"File","Line","Scope","Element"
"app/(game)/page.tsx","1280","production","<DialogContent surface=""soft"" className=""w-[min(92vw,26rem)]"">"
"app/admin/page.tsx","3899","production","<DialogContent className=""max-w-md max-h-[80vh] flex flex-col"">"
"app/admin/page.tsx","3978","production","<DialogContent>"
"app/providers.tsx","261","production","<DialogContent surface=""soft"" className=""w-[min(92vw,26rem)]"">"
"app/providers.tsx","347","production","<DialogContent surface=""soft"" className=""w-[min(92vw,26rem)]"">"
"app/qa/frontend/action-fixtures.tsx","51","development fixture","<DialogContent padding={padding} mobileMode=""sheet"">"
"app/qa/frontend/dialog-layout-fixtures.tsx","31","development fixture","<DialogContent layout={layout} padding=""compact"" hideCloseButton={layout === 'game'}>"
"app/qa/frontend/frontend-fixtures.tsx","112","development fixture","<DialogContent>"
"app/qa/frontend/frontend-fixtures.tsx","117","development fixture","<DialogContent layer=""nested"" size=""sm"" onEscapeKeyDown={event => { if (blockEscape) event.preventDefault(); }}>"
"components/arcade/ArcadeDialog.tsx","1293","production","<DialogContent className=""max-w-md w-[min(92vw,28rem)]"">"
"components/arcade/ArcadeDialog.tsx","1310","production","<DialogContent surface=""soft"" className=""max-w-md w-[min(94vw,28rem)]"">"
"components/broadcast-message-modal.tsx","109","production","<DialogContent className=""max-w-md"" onEscapeKeyDown={(e) => !canDismiss && e.preventDefault()} onPointerDownOutside={(e) => !canDismiss && e.preventDefault()} onInteractOutside={(e) => !canDismiss && e.preventDefault()} hideCloseButton={!canDismiss} >"
"components/building-info-dialog.tsx","425","production","<DialogContent layout=""detail"" className={isBarracks || isCasino ? 'max-w-md' : 'max-w-sm'}>"
"components/chat/chat-dialog.tsx","71","production","<DialogContent size=""full"" surface=""soft"" /* Height caps against the keyboard-inclusive visual viewport (fixed dvh kept the sticky input under the iOS keyboard — this is THE dialog whose whole purpose is typing). */ className=""flex h-[min(86dvh,calc(var(--visual-viewport-height,100dvh)*0.86),42rem)] w-[min(94vw,28rem)] max-w-md flex-col rounded-[var(--radius-dialog)] border sm:h-[min(82dvh,calc(var(--visual-viewport-height,100dvh)*0.82))] sm:w-[c"
"components/edit-land-name.tsx","108","production","<DialogContent layout=""form"" surface=""soft"" className=""max-w-md"">"
"components/edit-plant-name.tsx","291","production","<DialogContent layout=""form"" surface=""soft"" className=""max-w-md"">"
